,smiles,score,likelihood
0,N1(C2CC(c3ccc(F)cc3)c3ccc(C(CC4NCCC4c4ccc(F)cc4)C)cc32)CCN(CCO)CC1,1.0,-47.983658
78,N1(C2CC(c3ccc(F)cc3)c3ccc(N4CCCCC4Cn4cc(C)cn4)cc32)CCN(CCO)CC1,1.0,-44.116344
76,N1(C2CC(c3ccc(F)cc3)c3ccc(N4CCN(Cc5ccccc5C(F)(F)F)CC4)cc32)CCN(CCO)CC1,1.0,-42.800304
75,N1(C2CC(c3ccc(F)cc3)c3ccc(N(C(C4CCC(NC(=O)C5NCCN5C(=O)C)CC4)=O)C)cc32)CCN(CCO)CC1,1.0,-71.46495
73,N1(C2CC(c3ccc(F)cc3)c3ccc(OC4CCN(S(=O)(=O)c5c(F)ccc(C(F)(F)F)c5)CC4)cc32)CCN(CCO)CC1,1.0,-51.319458
72,N1(C2CC(c3ccc(F)cc3)c3ccc(CN(CCc4ccccc4OCC#N)CC#Cc4ccccc4)cc32)CCN(CCO)CC1,1.0,-63.031662
71,C1N(C2CC(c3ccc(F)cc3)c3ccc(NC(=O)NN4CCN(C5CCCCC5)CC4)cc32)CCN(CCO)CC1,1.0,-57.40691
69,N1(C2CC(c3ccc(F)cc3)c3ccc(NCCCc4ccc(OCCCN5CCCCC5)cc4)cc32)CCN(CCO)CC1,1.0,-50.68216
68,C1N(C2CC(c3ccc(F)cc3)c3ccc(CN(CC4CCN(CCOC(N(C)C)=O)CC4)CC4CCCCC4)cc32)CCN(CCO)CC1,1.0,-67.644
67,C1N(C2CC(c3ccc(F)cc3)c3ccc(C4(Cn5cc(CCCCCCCCCCCC)nn5)CCC4)cc32)CCN(CCO)CC1,1.0,-67.8168
65,N1(C2CC(c3ccc(F)cc3)c3ccc(N(CC(C4CCCCC4)N4CCN(CCO)CC4)c4ccc(F)cc4)cc32)CCN(CCO)CC1,1.0,-69.84052
63,N1(C2CC(c3ccc(F)cc3)c3ccc(N4CCN(C(Cc5c6c([nH]c5)cccc6)=O)CC4)cc32)CCN(CCO)CC1,1.0,-47.470493
62,C1N(C2CC(c3ccc(F)cc3)c3ccc(N(C4(CO)CC4)C(N4CC(OC)C4)=O)cc32)CCN(CCO)CC1,1.0,-71.35338
61,N1(C2CC(c3ccc(F)cc3)c3ccc(OCCC4CCN(C(=O)c5ccccc5)CC4)cc32)CCN(CCO)CC1,1.0,-46.197884
60,N1(C2CC(c3ccc(F)cc3)c3ccc(NC(CCc4cc(OC(N5CCC(NC)C5)=O)c(F)cc4)=O)cc32)CCN(CCO)CC1,1.0,-65.92731
58,N1(C2CC(c3ccc(F)cc3)c3ccc(C4(CNC(C(C(CC)C)NC(OCC5CCC5)=O)=O)CCCC4)cc32)CCN(CCO)CC1,1.0,-56.28484
57,N1(C2CC(c3ccc(F)cc3)c3ccc(C4(CN(CCCl)CCCC)CCCC4)cc32)CCN(CCO)CC1,1.0,-54.240974
55,N1(C2CC(c3ccc(F)cc3)c3ccc(CC4COC(=O)N4CCc4ccccc4)cc32)CCN(CCO)CC1,1.0,-47.012478
43,N1(C2CN(C3CC(c4ccc(F)cc4)c4ccc(CN(S(CCC)(=O)=O)CCOC)cc43)CCC2)CCN(CCO)CC1,1.0,-58.445107
53,N1(C2CC(c3ccc(F)cc3)c3ccc(OCCC4CCN(C(=O)C5CC5)CC4)cc32)CCN(CCO)CC1,1.0,-49.377098
