Step,Scaffold,SMILES,bioactivity,Tanimoto Similarity,raw_bioactivity,total_score,ID
183.0,O=C(NCC1CCCN1)c1ccccc1,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,1.0,1.0,1.0,1.0,fine-tune predictive component_0
99.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC,1.0,1.0,1.0,1.0,fine-tune predictive component_1
174.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)c(Br)cc(OC)c1OC,1.0,1.0,1.0,1.0,fine-tune predictive component_2
174.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)ccc(Br)c1OC,1.0,1.0,1.0,1.0,fine-tune predictive component_3
178.0,O=C(NCC1CCCN1)c1ccccc1,CCc1ccc(OC)c(C(=O)NCC2CCCN2CC)c1O,1.0,0.9012345671653748,1.0,0.9493337273597717,fine-tune predictive component_4
192.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(Cl)cc(OC)c1OC,1.0,0.8780487775802612,1.0,0.9370425939559937,fine-tune predictive component_5
161.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(Br)cc(OC)c1OC,1.0,0.8780487775802612,1.0,0.9370425939559937,fine-tune predictive component_6
225.0,O=C(NCC1CCCN1)c1ccccc1,CCOc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1CC,1.0,0.8780487775802612,1.0,0.9370425939559937,fine-tune predictive component_7
241.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Br)cc32)CC1,1.0,0.8453608155250549,1.0,0.9194350242614746,fine-tune predictive component_8
137.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cccc(OC)c1OC,1.0,0.8333333134651184,1.0,0.9128709435462952,fine-tune predictive component_9
207.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)c(C#N)cc(Br)c1OC,1.0,0.8117647171020508,1.0,0.9009798765182495,fine-tune predictive component_10
120.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,0.800000011920929,1.0,0.800000011920929,0.8944271802902222,fine-tune predictive component_11
200.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Br)cc32)CC1,0.800000011920929,1.0,0.800000011920929,0.8944271802902222,fine-tune predictive component_12
187.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,0.800000011920929,1.0,0.800000011920929,0.8944271802902222,fine-tune predictive component_13
227.0,O=C(NCC1CCCN1)c1ccccc1,CCOc1cc(Br)cc(C(=O)NCC2CCCN2CC)c1OC,1.0,0.7954545617103577,1.0,0.891882598400116,fine-tune predictive component_14
175.0,O=C(NCC1CCCN1)c1ccccc1,CCOc1ccc(Cl)c(OC)c1C(=O)NCC1CCCN1CC,0.8999999761581421,0.8780487775802612,0.8999999761581421,0.888956606388092,fine-tune predictive component_15
210.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)c(OC)cc(Br)c1OC,1.0,0.7701149582862854,1.0,0.8775619268417358,fine-tune predictive component_16
239.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)cc(N)c(Cl)c1OC,1.0,0.7674418687820435,1.0,0.87603759765625,fine-tune predictive component_17
184.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)cc(Br)c(Br)c1OC,1.0,0.7674418687820435,1.0,0.87603759765625,fine-tune predictive component_18
153.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)c(C)cc(Br)c1OC,1.0,0.7674418687820435,1.0,0.87603759765625,fine-tune predictive component_19
213.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)c(C)cc(Cl)c1OC,1.0,0.7674418687820435,1.0,0.87603759765625,fine-tune predictive component_20
195.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)ccc1OC,1.0,0.761904776096344,1.0,0.8728715777397156,fine-tune predictive component_21
168.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)cccc1OC,1.0,0.761904776096344,1.0,0.8728715777397156,fine-tune predictive component_22
177.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)c(Br)cc(C)c1OC,1.0,0.759036123752594,1.0,0.8712267875671387,fine-tune predictive component_23
203.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(Cl)ccc1OC,1.0,0.7530864477157593,1.0,0.867805540561676,fine-tune predictive component_24
160.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(Br)ccc1OC,1.0,0.7530864477157593,1.0,0.867805540561676,fine-tune predictive component_25
201.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)cc(OC)c(Cl)c1OC,1.0,0.75,1.0,0.8660253882408142,fine-tune predictive component_26
176.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(F)c(OC)cc(Cl)c1OC,1.0,0.75,1.0,0.8660253882408142,fine-tune predictive component_27
210.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)c(Br)c(OC)c(OC)c1OC,1.0,0.7472527623176575,1.0,0.8644378185272217,fine-tune predictive component_28
