Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
77.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,Cc1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_0
68.0,O=C(NCC1CCCN1)c1coc2ccc(S(=O)(=O)Nc3cnoc3)cc12,CCN1CCCC1CNC(=O)c1c(OC)oc2ccc(S(=O)(=O)Nc3c(C)noc3C)cc12,1.0,1.0,1.0,fine-tune predictive component_1
41.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_2
98.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3cc(F)ccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_3
93.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3cc(Br)ccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_4
86.0,O=C(NCC1CCCN1)c1ccc(-n2cnc3ccccc32)s1,CCN1CCCC1CNC(=O)c1ccc(-n2c(C)nc3c(OC)cc(C#N)cc32)s1,1.0,1.0,1.0,fine-tune predictive component_5
90.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,O=[N+]([O-])c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_6
95.0,O=C(NCC1CCCN1)c1cc(-c2ccccc2)no1,CCN1CCCC1CNC(=O)c1cc(-c2cc(Cl)c(OC)c(Cl)c2)no1,1.0,1.0,1.0,fine-tune predictive component_7
86.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccccc3)c3ccc(F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_8
32.0,O=C(Nc1ccc(C(=O)NCC2CCCN2)cc1)Nc1ccc(C2CC2)cc1,CCN1CCCC1CNC(=O)c1ccc(NC(=O)Nc2ccc(C3CC3)c(F)c2)c(OC)c1,1.0,1.0,1.0,fine-tune predictive component_9
81.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_10
97.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3c(F)cc(F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_11
93.0,O=C(NCCN1CCNCC1)N1CCN(C2NCC(c3ccccc3)c3ccccc32)CC1,COCCN1CC(c2ccccc2)c2ccccc2C1N1CCN(C(=O)NCCN2CCN(CCO)CC2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_12
97.0,c1ccc(C2CC(N3CCN(CCN4CCNCC4)CC3)Cc3ccccc32)cc1,OCCN1CCN(CCN2CCN(C3Cc4ccccc4C(c4ccc(F)cc4)C3)CC2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_13
64.0,c1ccc2c(C3CCC(N4CCN(C5CCC(N6CCNCC6)CC5)CC4)CC3)cccc2c1,OCCN1CCN(C2CCC(N3CCN(C4CCC(c5cccc6cc(Cl)ccc56)CC4)CC3)CC2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_14
99.0,O=C(NCC1CCCN1)c1ccc2c(c1)C(N1CCN(C3CCN(C4CCCCCC4)CC3)CC1)c1ccccc1CC2,CCN1CCCC1CNC(=O)c1ccc2c(c1)C(N1CCN(C3CCN(C4CCCCCC4)CC3)CC1)c1ccc(Cl)cc1CC2,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_15
65.0,c1ccc(C2CC(N3CCN(CCCN4CCNCC4)CC3)c3ccccc32)cc1,CC1CN(C2CC(c3ccc(F)cc3)c3ccccc32)CCN1CCCN1CCN(CCO)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_16
99.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCOc1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(Cl)cc1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_17
87.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(C(F)(F)F)cc3)c3ccc(Cl)cc32)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_18
35.0,O=C(NCC1CCCN1)c1cc(NC2CCOCC2)cn2c(=O)c(C3CCCCC3)c(-c3ccccc3)nc12,CCN1CCCC1CNC(=O)c1cc(NC2CCOCC2)cn2c(=O)c(C3CCCCC3)c(-c3cccc(F)c3)nc12,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_19
92.0,c1ccc2c(C3CCC(N4CCN(C5CCC(N6CCNCC6)CC5)CC4)CC3)cccc2c1,OCCN1CCN(C2CCC(N3CCN(C4CCC(c5cccc6cc(F)ccc56)CC4)CC3)CC2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_20
28.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,COc1ccc2c(c1)C(c1ccc(F)cc1)CC2N1CCN(CCO)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_21
12.0,O=C(NCC1CCCN1)c1cnn2ccccc12,CCN1CCCC1CNC(=O)c1c(C(C)(C)C)nn2ccc(OC)cc12,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_22
78.0,O=C(NCC1CCCN1)c1cc(C(=O)N2CCN(C3CCN(C4CCNCC4)CC3)CC2)ccc1NCC1CCCN1,CCN1CCCC1CNC(=O)c1cc(C(=O)N2CCN(C3CCN(C4CCN(C)CC4)CC3)CC2O)ccc1NCC1CCCN1CC,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_23
92.0,c1ccc(C2CC(N3CCN(CCN4CCNCC4)CC3)c3ccccc32)cc1,CC(CN1CCN(CCO)CC1)N1CCN(C2CC(c3ccc(F)cc3)c3ccccc32)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_24
82.0,c1ccc(C2CC(N3CCN(CC4CNCCO4)CC3)c3ccccc32)cc1,OCCN1CCOC(CN2CCN(C3CC(c4cc(F)ccc4F)c4ccc(F)cc43)CC2)C1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_25
92.0,N=c1nc(CN2CCN(C3CCCC3)CC2)[nH]c2c(C(=O)NCC3CCCN3)cccc12,CCN1CCCC1CNC(=O)c1cc(Br)cc2c(=N)nc(CN3CCN(C4CCCC4)CC3)[nH]c12,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_26
98.0,O=C(NCC1CCCN1CCCCCN1CCNCC1)c1cc2c(-c3ccccc3)n[nH]c2s1,COc1ccc(-c2nn(C)c3sc(C(=O)NCC4CCCN4CCCCCN4CCN(CCO)CC4)cc23)cc1OC,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_27
59.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccccc32)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_28
91.0,O=C(NC1CCC(N2CCN(C3CCNCC3)CC2)CC1)C1(c2ccc(N3CCNCC3)cc2)CCCNC1,CN1CCN(c2ccc(C3(C(=O)NC4CCC(N5CCN(C6CCN(CCO)CC6)CC5)CC4)CCCN(CCCO)C3)cc2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_29
84.0,c1ccc2c(C3CCC(N4CCN(C5CCC(N6CCNCC6)CC5)CC4)CC3)cccc2c1,OCCN1CCN(C2CCC(N3CCN(C4CCC(c5cccc6ccc(F)cc56)CC4)CC3)CC2)CC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_30
