,smiles,score,likelihood
95,c1(OC)c(C(NCC2N(CC)CCC2)=O)c(OC)c(Cl)cc1,0.9798878,-19.423445
95,c1(=O)c(C(=O)NCC2N(CC)CCC2)c(O)c(CC)c(OC)cc1,0.9749294,-30.798183
77,c1(C(=O)NCC2N(CC)CCC2)c(OC)c(OC)cc(Br)c1OC,0.965,-20.090458
77,c1(C(NCC2N(CC)CCC2)=O)c(OC)c2c(occ2)c(CCC)c1O,0.96488774,-34.622154
13,c1(C(NCC2N(CC)CCC2)=O)c(OC)c(OCC)cc(=O)c(O)c1,0.96237826,-35.662
125,c1(C(NCC2N(CC)CCC2)=O)c(OC)c(OC)cc(Cl)c1OC,0.955,-23.97392
2,c1(Br)c(C(=O)NCC2CCCN2CC)c(OC)c2c(occ2)c1,0.95238775,-31.169971
10,c1(C(NCC2N(CC)CCC2)=O)c(OC)c2c(c(Br)c1)OC2(C)C,0.95198506,-38.85533
56,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(occ2)c(C)c1OC,0.94988775,-37.543655
17,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(occ2)c(CC)c1OC,0.94988775,-35.04001
119,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(cc1Br)OC(C)(C)C=C2,0.94738775,-28.35769
67,c1(C(NCC2N(CC)CCC2)=O)c(OC)c(OCC)cc(=O)c(C)c1,0.9473783,-37.78523
93,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(occ2)c(Cl)c1OC,0.94488776,-32.473274
127,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(occ2)c(Br)c1OC,0.94488776,-31.13068
79,c1(C(NCC2N(CC)CCC2)=O)c(OC)c2c(occ2)c(CCC)c1OC,0.94488776,-34.485214
68,c1(C(NCC2N(CC)CCC2)=O)c(OC)c2c(occ2)cc1OC,0.94238776,-29.329433
118,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2cccc(OC)c2o1,0.93979776,-27.528547
73,c1(OC)c(C(NCC2N(CC)CCC2)=O)c(OC)c2c(c1Cl)S(=O)(=O)C=C2,0.9375,-33.760067
93,c1(OC)c(C(=O)NCC2N(CC)CCC2)c(OC)c2c(c1)OC(C)(C)C=C2,0.93738776,-25.410637
15,c1(OC(C)C)c(C(=O)NCC2N(CC)CCC2)c(OC)c(OC)c(OC)c1,0.935,-27.358585
