,smiles,score,likelihood
121,c12ccccc1nc(-c1ccccc1)nc2-n1cc(COC(Nc2ccc(Cl)cc2)=O)nn1,0.99907213,-29.59692
38,c1ccc(-c2ccc(-c3[nH]cc(C(F)(F)F)n3)cc2)c(CSc2ccccc2)c1,0.99907213,-29.407244
69,c1c(Cl)ccc(-c2c3c(ccc2)CC(Cn2ccc(=O)c(OCc4ccccc4)c2O)O3)c1,0.99907213,-35.209465
14,c1ccccc1-c1n(Cc2ccc(C(=O)O)cc2)cnc1-c1ccccc1,0.9990721,-22.198614
53,c1cc(C)ccc1-c1cc(COc2c(OC)cc3c(c2)c(=Nc2cccc(F)c2)nc[nH]3)ccc1,0.9990721,-35.632294
86,c1cccc2c1cccc2NC(NC(=O)Cc1ccccc1)=Nc1ccccc1,0.9990721,-29.16824
8,c1(CCCC(=O)c2ccccc2)ccccc1-c1ccccc1,0.9990721,-27.232815
72,c1cc2c(cc1)cccc2Cc1ccc2ccccc2c1,0.9990721,-22.585403
48,c1c(-c2ccccc2)oc2ccccc2c1=Nc1ccccc1,0.9990721,-23.033134
122,c12c(cccc1)c(C(c1c(=O)[nH][nH]c1C)c1ccccc1)c1ccccc1c2,0.9990721,-28.229624
99,c1ccc(NC(c2cc3c(cc2)C(=O)N(c2ccccc2Oc2ccccc2)C3=O)=O)cc1O,0.9990721,-29.969873
30,c1ccc(CCCNC(=S)Nc2ccccc2-c2ccccc2)cc1,0.9990721,-24.537968
103,c1ncccc1-c1c(-c2ccccc2)ncc(C(=S)Nc2ccccc2)n1,0.9990721,-28.771374
40,c1cccc2c(C(=O)c3ccccc3)c(-c3ccccc3)ncc12,0.9990721,-21.815636
42,c1(-c2cc3c(cc2)OCO3)n(-c2ccc(O)cc2)ccc1-c1ccccc1,0.9990721,-28.725376
56,c1(-c2ccc(OC)cc2)nc(Oc2ccccc2)cc(-c2ccccc2)n1,0.9990721,-24.219168
2,c1cc(C(c2ccc3c(c2)cccc3)=Nc2ccccc2)c(O)cc1N,0.9990721,-28.34609
94,c1cccc2cc(-c3ccccc3)c(-c3ccccc3)nc12,0.999072,-19.069859
24,c1c(-c2c(-c3ccccc3)n(C)c(-c3ccc(O)cc3)n2)cccc1,0.999072,-20.92487
85,c1c2c(ccc1)c(N(c1ccccc1)c1ccccc1)nc(C)c2,0.999072,-26.17239
